,TransactionID,LoanAmount,ClosingDate,Quarter,Closed,RegionName,PurchasePrice,ARV,Beds,Bath,SqFt,RepairCreditLine,CashReserves,RepeatBorrower,YearsOfExperience,CompletedProperties,MarketHealthIndex,YoY,DaysOnMarket,MedianSalesPriceSqFt,MedianSalesPrice
551,1608M,35750,2014-06,2,1,33610,59950,65000,3,1.5,1372,0,,0,,,0.091334541,0.912646675,77,37.6544,71200
324,0313L,46200,2013-07,3,1,32712,46000,66000,2,1,1084,10000,17000,0,3,10,1.326992754,5.098039216,91,79.8623,187800
471,405-O,46200,2014-02,1,1,32177,40000,66000,4,2,1566,15000,48000,0,8,0,0.101147343,-1.503759399,222,,60800
210,4005F,48300,2013-04,2,1,32209,42500,69000,4,2,1454,21000,0,0,5,1,0.232487923,0,102,,40600
268,1501C,35000,2013-06,2,1,32533,0,69000,3,2,1256,20000,2000,0,32,21,3.847373188,4.482531312,136,77.549,144600
256,6312R,52500,2013-06,2,1,32835,75000,70000,2,2,1051,0,70000,0,0,3,4.011171498,8.550434202,113,90.3352,194900
403,1010A,37125,2013-11,4,1,33950,145000,70000,4,2,1300,10000,88000,0,3,4,4.14477657,9.31085044,115,115.905,315300
669,17071,45500,2014-10,4,1,34221,52000,70000,3,1,964,0,20000,0,0,0,1.607789855,12.28533686,80,109.0623,152300
1109,0888B,400000,2015-12,4,1,33132,17000,70000,,,,0,28000,0,5,1,1.670440821,0.559654032,157,382.4975,271900
475,4304E,46200,2014-02,1,1,32809,52500,72000,3,1,1100,0,58000,1,0,0,2.262228261,9.140767825,99,52.7648,113600
658,1510H,40500,2014-10,4,1,32808,45000,72000,3,2,1280,0,20000,1,0,0,0.935235507,5.844155844,84,52.5821,78700
237,0505S,51800,2013-05,2,1,32801,60000,74000,1,1,650,0,100000,0,0,0,3.65111715,6.589147287,109,198.3326,281700
334,1036U,40700,2013-08,3,1,33712,45000,74000,0,3,1968,5000,100000,0,16,26,2.512077295,12.60869565,76,,82500
284,1008S,50310,2013-06,2,0,34787,45900,75000,2,2,842,10000,,0,,,5.247584541,8.579210168,106,94.1684,200100
366,3831L,45000,2013-09,3,1,32822,45000,75000,2,1,725,0,100000,1,0,0,2.507548309,10.53140097,86.5,67.0355,106100
472,0105C,41400,2014-02,1,1,33823,40000,75000,3,2,1058,6000,40000,1,0,0,3.539402174,8.546255507,108,,100700
819,0300J,48700,2015-04,2,1,32901,69269,75000,3,2,1144,0,130000,0,5,0,3.31446256,8.857395926,76,89.09,121100
631,19354,50000,2014-09,3,1,32960,50000,76000,4,2,1400,5560,20000,0,20,4,6.426630435,11.16322702,103,87.2155,118200
702,3551B,41800,2016-11,4,0,34652,0,76000,3,2,1312,0,30000,0,3,0,1.644021739,5.323741007,126,67.0568,81200
146,0024P,231000,2012-12,4,1,32095,34000,77000,3,4,3057,7000,60000,0,0.6,1,0.765398551,4.180919802,168,98.3015,239700
746,5751O,57750,2015-01,1,1,77085,63000,77000,4,2,1326,6000,16000,0,5,2,8.982487923,17.57105943,86.5,150.6147,252300
271,2134S,42500,2013-06,2,1,33901,42500,78000,4,3,1682,12000,90000,0,0,0,7.322614734,13.40734415,116,75.0299,108300
773,1944E,51700,2015-02,1,1,33830,57500,78000,4,2,1800,0,40000,0,5,0,0.35326087,1.170960187,109,,85200
837,0733G,50355,2015-04,2,1,28303,36950,79000,3,2,1450,19000,115000,0,3,25,1.64477657,-0.937207123,135,72.1959,110200
361,1448M,106200,2013-09,3,1,34711,35100,80000,4,2,2023,3500,25000,0,15,26,2.797403382,6.200396825,100,95.7792,174300
489,316AS,44000,2014-03,1,1,34748,36000,80000,3,1.5,1383,13000,17500,0,0,0,1.01147343,2.930127724,101,74.285,129400
554,2600P,52000,2014-06,2,1,76712,0,80000,3,1,1549,0,4000,0,4,2,5.915609903,5.794392523,100,148.1847,161500
898,9341D,64000,2015-06,2,1,28214,66000,80000,3,2,1108,10000,77000,0,10,0,2.0727657,5.508474576,102,82.121,123800
490,4187P,52650,2014-03,1,1,32811,60000,81000,3,2,1261,3500,500000,0,25,300,1.086956522,7.713498623,115.5,63.59,60300
900,3017M,56700,2015-06,2,1,34234,53000,81000,4,2,1533,10000,200000,0,5,0,0.440821256,8.090310442,77.5,101.2211,125900
139,1142W,55292,2012-11,4,1,32225,45000,82000,3,2,1550,,20000,0,13,18,0.554045894,5.757406372,90,81.3018,150600
331,10152,45100,2013-08,3,1,33705,0,82000,2,2,1782,0,100000,0,16,26,2.793629227,12.95652174,93.5,,99300
794,0100F,63000,2015-03,1,1,27577,70000,83500,3,2,1350,0,25883.15,0,9,12,2.185235507,1.614205004,95.5,97.5975976,125800
514,9313P,51130,2014-04,2,1,34472,32811,84000,4,2,1680,24000,9000,0,30,1,0.397795894,5.773955774,89,51.4454,80000
531,0601E,63000,2014-05,2,1,32907,63150,84000,3,3,1784,11900,12000,0,25,6,4.300271739,13.96357329,77,69.6868,107200
730,1108A,56700,2014-12,4,0,32807,62999,84000,2,2,952,0,100000,0,2,3,4.985658213,11.53169014,89,77.0547,120200
235,1160Q,54900,2013-05,2,1,32707,51000,85000,2,2,1016,0,50000,0,,,3.397493961,9.054593875,77,74.981,139900
245,0803G,63750,2016-05,2,0,32805,70000,85000,2,1,1000,0,100000,0,1,0,0.399305556,-0.835654596,102.5,,70900
267,4408C,44800,2013-06,2,1,32505,17500,85000,3,1.5,1500,0,5000,1,,,0.261926329,-0.367647059,118.5,34.2932,49500
525,0342A,46350,2014-05,2,1,32073,16500,85000,3,2,1432,35000,18000,1,0,0,0.21361715,3.977272727,91.5,82.2528,137500
666,2304S,70500,2014-10,4,1,46404,85000,85000,3,2,2112,0,50000,1,18,50,2.361865942,-0.564971751,118,,53000
683,1303K,62100,2014-11,4,1,32818,59000,85000,4,2,1378,10000,35000,1,10,8,3.688103865,10.7599699,97,77.4311,134100
720,0917L,57600,2016-12,4,1,32114,64000,85000,4,2,1550,0,120000,0,10,0,0.267964976,1.192250373,71.5,,69200
749,4609R,55800,2015-01,1,1,32808,39000,85000,3,1.5,1111,23000,64000,0,1,2,0.935235507,5.844155844,84,45.2425,78800
860,3260E,66600,2015-05,2,1,38116,51000,85000,6,3,2210,23000,35000,0,14,5,0.621225845,2.429667519,86,39.16449086,80200
927,1185C,68000,2015-06,2,0,38109,61000,85000,3,2,3137,20000,35000,0,14,0,0.451388889,2.088167053,86,,42500
253,5735W,56000,2013-06,2,1,32808,50000,88000,4,2,2347,20000,10000,0,0,0,0.935235507,5.844155844,84,44.9077,64700
418,2524H,50000,2013-11,4,0,32216,46500,88000,3,2,1200,0,30000,0,7,30,1.062047101,8.902333621,80,75.2043,113700
848,2434R,56700,2014-12,4,0,32822,53000,88000,3,2.5,1252,10000,100000,0,2,3,2.507548309,10.53140097,86.5,81.306,130400
931,20181,50000,2015-07,3,1,33705,60000,88000,5,3,2068,0,20000,0,2,0,2.793629227,12.95652174,93.5,127.5729,119300
515,0217E,48050,2014-03,1,0,33604,46189,88400,3,2,1360,7200,19000,0,3,5,2.502264493,11.88318228,102,83.7539,96900
500,1233F,65000,2014-04,2,1,38105,89000,89000,4,2,1600,5000,5000,0,6,8,5.449124396,1.631701632,86,,43800
902,1104H,71200,2015-06,2,1,33973,82000,89000,4,2,1560,0,62000,0,2,0,3.811141304,1.639344262,82.5,,205800
199,0230H,62100,2013-04,2,1,32750,44000,90000,2,1,7370,25000,,1,0,0,4.159873188,5.059847661,96.5,78.9723,167200
230,0747A,63900,2013-05,2,1,32804,63000,90000,3,1,1050,0,50000,0,,,7.962711353,7.354149548,115,139.7436,233400
272,0405M,67500,2013-06,2,1,34759,79500,90000,3,2,1224,0,57000,1,20,0,2.250905797,5.405405405,113.5,69.4418,94900
367,1707P,58500,2013-09,3,1,32771,99900,90000,3,2,1938,0,100000,0,8,28,1.025815217,5.394736842,89,96.4811,140200
376,0742S,58500,2013-10,4,1,34953,60000,90000,3,2,984,5000,20000,0,3,5,4.881491546,21.09375,85,74.83,124700
783,3718C,55350,2015-03,1,1,46312,28000,90000,3,2,2532,31500,57000,0,19,50,4.35009058,-1.851851852,118,,56000
881,0128C,45000,2016-05,2,0,33803,47324,90000,2,1,915,10000,35000,0,0,1,4.168931159,9.958158996,93,,136600
950,3218D,65200,2015-07,3,1,33619,72500,90000,4,2,1260,0,18000,0,11,0,1.613828502,8.883248731,87,73.4662,81700
438,5428S,48000,2013-12,4,0,32839,0,91000,3,2,934,0,,1,0,0,1.160175121,5.603448276,86.5,70.4969,98100
1010,0290K,45000,2015-09,3,1,32514,64000,91000,3,1.1,1800,0,110000,0,1,,1.701388889,4.214876033,101.5,85.8561,128400
336,0396S,59500,2013-08,3,1,34953,66900,92000,3,2,1080,0,30000,0,10,5,4.881491546,21.09375,85,74.0321,121300
706,0629W,59535,2014-11,4,1,32117,52000,92000,3,2,1320,14150,39000,0,0,1,0.670289855,3.443708609,89,58.9937,74400
416,9267W,46200,2013-11,4,0,32208,0,94000,3,1.5,1225,0,30000,0,4,0,1.668176329,9.523809524,107.5,,52000
764,1411C,67500,2015-02,1,1,33406,75000,94500,3,2.5,1300,0,300000,0,10,0,1.793478261,13.77587438,116,92.0824,181100
214,0743A,60300,2013-04,2,1,34758,67000,95000,3,2,1835,0,35000,0,20,0,1.314915459,5.66318927,95.5,63.992,95400
215,0926L,65610,2013-04,2,1,34759,72900,95000,3,2,1248,0,35000,0,20,0,2.250905797,5.405405405,113.5,75.2492,92800
379,0713T,42100,2013-10,4,1,34758,30000,95000,3,2,1200,15000,21000,0,,,1.314915459,5.66318927,95.5,63.457,109200
298,3211E,67200,2013-07,3,1,32778,59000,96000,3,2,2100,22000,75000,1,0,0,2.357336957,6.290672451,113,87.1188,126700
390,2210T,48000,2013-10,4,1,32808,0,96000,4,2,2027,15000,20000,0,25,0,0.935235507,5.844155844,84,44.6084,68000
396,3542P,72000,2013-10,4,0,32808,97400,96000,3,2,2040,0,100000,0,8,28,0.935235507,5.844155844,84,44.6084,68000
279,1023B,65100,2016-1,1,0,33803,0,99000,3,2,1397,0,,0,0,50,4.168931159,9.958158996,93,,136600
943,0573S,74160,2015-07,3,1,37042,66000,99000,3,2,1203,10650,77355.19,0,20,0,3.620923913,1.850294365,113,181.9257,120300
217,1203D,51300,2013-04,2,0,32726,54000,100000,4,1,1350,12000,25000,0,0,0,3.547705314,6.036745407,115,64.7329,94600
224,6300N,70000,2013-05,2,1,33313,77000,100000,3,2,1586,0,600000,0,3,2,0.754830918,0.661157025,115,46.809,112700
247,1829P,41600,2013-04,2,0,32725,44290,100000,3,2,1029,0,75000,0,0,1,3.928140097,14.14821944,89,57.5759,79400
262,4519G,43500,2013-06,2,1,32505,21500,100000,3,2,1550,0,5000,0,,,0.261926329,-0.367647059,118.5,34.2932,49500
283,2730B,62250,2013-05,2,0,32725,64000,100000,4,2,1616,12500,25000,0,0,0,3.928140097,14.14821944,89,57.3331,80300
300,6111R,74250,2013-07,3,1,32808,69900,100000,3,2,1697,12000,15000,1,0,0,0.935235507,5.844155844,84,48.5018,65500
537,7518S,59400,2014-05,2,1,32217,30000,100000,3,2,1434,36000,20000,0,8,21,1.393417874,5.20694259,110.5,87.0043,162300
541,6206,49400,2014-04,2,0,34207,67500,100000,,,,0,50000,0,4,250,3.898701691,19.77040816,70,52.4402,100900
633,52974,58500,2014-09,3,1,33709,55000,100000,3,1.5,1300,10000,17000,0,8,8,4.024758454,15.86978637,93,52.6894,116400
840,0673J,63000,2015-04,2,1,32904,70000,100000,3,2,1225,0,47000,0,5,0,5.356280193,11.51862464,78.5,100.057,189200
1007,3943A,51000,2015-09,3,1,46312,0,100000,4,5,5910,45000,750000,1,19,52,4.35009058,-1.851851852,118,,58600
1013,6710D,61200,2015-09,3,1,32504,56000,100000,3,2,1596,12000,110000,1,1,,2.079559179,4.183109708,91.5,85.6321,138900
1048,1691S,69500,2015-10,4,1,34956,50000,100000,5,2,1392,28000,30000,0,6,72,4.881491546,21.09375,85,,264300
887,8909N,65300,2015-05,2,0,33604,49900,100500,3,2,1040,19500,31404,0,8,1,2.502264493,11.88318228,102,105.4148,108700
457,2831N,60600,2014-01,1,0,32609,44189,101000,3,2.5,1575,30000,10000,1,7,0,0.606129227,1.807909605,136,,80700
992,0814L,57500,2015-07,3,0,37042,34000,101000,3,1,1300,32000,77355.19,0,20,0,3.620923913,1.850294365,113,181.9257,120300
295,1924C,73800,2013-06,2,0,32726,57000,102000,4,2,2000,25000,17000,0,20,0,3.547705314,6.036745407,115,65.0401,96900
768,0659C,71400,2015-02,1,1,32935,70000,102000,3,2,1436,10000,35000,0,3,0,5.8227657,16.38361638,85.5,79.4156,107000
556,6125R,61400,2014-06,2,1,32244,43900,103195,3,2,1352,24500,40000,0,2,3,0.543478261,8.799266728,90.5,71.4069,107900
391,0981J,62100,2013-10,4,1,32907,54000,105000,3,2,1351,15000,15000,0,2,0,4.300271739,13.96357329,77,61.0501,94700
432,6514M,52000,2013-12,4,1,32818,53000,105000,3,3,1091,10000,40000,0,7,40,3.688103865,10.7599699,97,71.7766,118900
509,8531A,41000,2014-04,2,1,32254,27000,105000,3,2,1374,18000,14000,0,6,5,0.000754831,-9.523809524,92,,42400
534,0540N,69750,2014-05,2,1,32907,60000,105000,3,2,1278,18000,10000,0,25,6,4.300271739,13.96357329,77,69.6868,107200
735,0112P,51300,2014-09,3,0,28546,39000,105000,3,2,1000,18000,44000,0,3,8,0.692934783,-1.053484603,114,82.5848,124800
766,0567C,57500,2015-02,1,1,32073,38964,105000,4,2,1392,25000,50000,0,8,25,0.21361715,3.977272727,91.5,80.9737,144100
892,4111L,76400,2015-06,2,1,46228,62985,105000,3,2,1994,22000,23000,0,1,0,2.114281401,3.348909657,102,166.8999,137100
896,2342H,56520,2015-06,2,1,32303,41000,105000,3,1.5,1207,21800,205000,0,2,6,1.368508454,3.259005146,112.5,93.5667,131200
1042,3801G,72000,2015-10,4,1,30135,55000,105000,3,2,1600,25000,15000,0,1,,2.25317029,5.98755832,133,79.0772,134900
1058,4137W,74250,2015-10,4,1,32808,62500,105000,4,1.5,1400,20000,25000,0,2,1,0.935235507,5.844155844,84,60.3129,83900
1148,0205M,63000,2015-12,4,0,29073,0,105000,3,3,1450,0,10000,0,1,0,1.251509662,1.697792869,93,76.6262,119100
251,2362F,78300,2013-06,2,1,32776,60000,106000,3,2,1888,27000,18000,0,1,1,1.906702899,6.003335186,100,,147600
914,0500A,63000,2015-06,2,1,32110,60000,106000,4,2,2000,10000,15000,0,3,0,0.974486715,-1.090188305,117,166.8999,113000
1154,0703N,80550,2016-01,1,0,78539,84000,106000,3,2,1407,5500,27000,0,0,0,6.826690821,6.476683938,124,191.0501,123600
520,0735D,80000,2014-03,1,0,34758,93000,107000,3,3,1783,6000,100000,0,10,3,1.314915459,5.66318927,95.5,69.9518,121600
925,1332H,71700,2015-06,2,0,32940,79719,107500,2,2,1110,0,20000,0,5,0,6.810084541,11.31369799,96,118.1512,238000
415,2406A,62100,2013-11,4,0,34608,54000,108000,3,2,1918,15000,20000,0,10,15,3.162741546,11.8556701,75,54.1166,89500
718,4123B,74250,2014-12,4,1,33610,82500,108000,2,2.5,1504,0,230000,0,2,2,0.091334541,0.912646675,77,42.7812,74700
355,1011B,77000,2013-09,3,1,33837,97500,110000,4,2,1404,0,50000,0,20,4,2.404891304,7.099799062,115,80.8686,130000
398,3020S,60000,2013-11,4,1,34953,73100,110000,3,2,1325,2500,30000,0,10,5,4.881491546,21.09375,85,75.0529,126100
409,0707C,75000,2013-11,4,1,34759,87000,110000,3,2,1270,5000,50000,1,0,0,2.250905797,5.405405405,113.5,82.3665,105400
684,1908S,70000,2014-11,4,1,33563,56700,110000,3,2,1376,24000,20000,0,,0,3.060839372,15.63169165,85,,96900
767,0648W,60500,2015-02,1,1,32303,50500,110000,3,1,962,18000,23000,0,10,0,1.368508454,3.259005146,112.5,73.7975,129600
775,2243O,68000,2015-02,1,1,32818,68000,110000,4,2,1494,0,5000,0,,,3.688103865,10.7599699,97,76.8493,136000
793,2985R,71100,2015-03,1,1,32205,26000,110000,2,2,1176,53000,20000,1,4,23,2.482638889,11.4481409,82,107.8534,103000
868,2321N,52000,2015-05,2,1,46208,24300,110000,6,2,2600,0,18000,0,6,31,9.346316425,2.76816609,110,168.8622,249300
886,1304D,60000,2015-05,2,0,33624,68500,110000,3,1,984,0,29000,0,1,0,1.703653382,4.823331464,87,116.8401,204700
968,1402E,75000,2015-08,3,1,33612,85900,110000,4,3,1544,0,26500,1,11,,0.498188406,6.584821429,80,85.5457,103800
1116,4634B,60500,2015-12,4,1,32207,47500,110000,3,2,1242,20000,30000,0,20,0,2.622282609,7.711651299,113,112.8507,132200
427,2003R,77700,2013-12,4,1,32839,99900,111000,3,2,2452,6000,35000,0,1,3,1.160175121,5.603448276,86.5,70.4969,98100
747,2856C,77700,2015-01,1,1,32935,0,111000,2,2,1416,0,200000,0,5,0,5.8227657,16.38361638,85.5,77.755,106000
1000,2722M,71000,2015-09,3,1,46203,79000,113000,3,1,1000,0,48000,0,10,1,7.033514493,11.98501873,120,178.6633,259100
1052,5701N,67800,2015-10,4,1,32277,49100,113000,3,2,1384,35000,53000,1,0,0,0.592542271,6.794564349,86,82.6047,136500
1125,6017B,81900,2015-12,4,0,37087,69000,113000,0,2,1680,22000,65000,0,0,0,9.155344203,9.920634921,117,103.1527,193300
744,9804V,76500,2015-01,1,1,28215,85000,113500,3,2,1218,0,800000,0,10,3,1.838768116,6.564364876,79,72.0797,122600
275,6104G,73000,2013-06,2,1,32809,78000,114000,4,2,1669,5000,18000,0,0,1,2.262228261,9.140767825,99,53.1314,106100
280,1261S,71400,2013-05,2,0,32725,105000,114990,3,2,1628,0,300000,0,0,50,3.928140097,14.14821944,89,57.3331,80300
281,2820L,62300,2013-05,2,0,32738,124990,114990,4,2,1672,0,300000,0,0,50,5.529136473,13.45971564,97,59.0382,82200
204,2033P,76300,2013-04,2,1,32808,39800,115000,4,2,1544,10000,10000,1,0,0,0.935235507,5.844155844,84,44.9762,62900
205,6217A,72800,2013-04,2,1,32808,0,115000,4,2,1544,10000,10000,1,0,0,0.935235507,5.844155844,84,44.9762,62900
282,4712K,84710,2013-06,2,0,34652,45126,115000,4,3,956,49000,136000,1,2,4,1.644021739,5.323741007,126,64.3585,64700
480,3009B,70000,2014-02,1,1,79761,0,115000,3,2,1300,20000,10000,0,43,0,8.969655797,-7.006920415,89,173.6546,254500
494,0352C,50000,2014-03,1,0,34758,115100,115000,3,2,1509,3000,3000,0,9,1,1.314915459,5.66318927,95.5,69.9518,121600
714,2804W,64800,2014-12,4,1,32806,65000,115000,2,2,1390,7000,60000,1,0,0,3.723580918,9.693877551,81,128.2442,210500
812,8409O,59000,2015-03,1,0,32216,62900,115000,3,2,1142,6700,50000,0,10,0,1.062047101,8.902333621,80,88.4619,122300
824,2353R,58500,2015-04,2,1,32211,50000,115000,3,1.5,1504,15000,45000,0,7,32,1.999547101,10.03307608,94,62.5882,93100
961,7137M,66960,2015-08,3,1,32211,37000,115000,3,1.5,1284,37400,70000,0,7,1,1.999547101,10.03307608,94,73.2012,98400
998,2212V,70200,2015-08,3,0,32818,58000,115000,3,2,1636,20000,20000,0,3,0,3.688103865,10.7599699,97,89.1308,144300
596,3033V,50000,2014-07,3,1,34288,0,116000,3,2,1400,0,1500,0,3,5,2.159571256,15.47099189,80.5,87.6777,154600
369,1114O,56000,2013-09,3,1,75232,68000,117000,4,2.5,2102,0,10500,0,0,0,8.015549517,17.2004745,73,44.4061,79500
1015,1617E,85000,2015-09,3,1,32725,76500,118000,3,2,1342,18000,27595,0,1,0,3.928140097,14.14821944,89,78.5574,115700
917,10163,59200,2015-06,2,1,31768,0,118500,3,2,946,0,20000,0,4,0,0.713315217,0.738916256,,63.9646,81900
286,1950S,42000,2013-06,2,0,34953,0,119000,3,2,1600,0,3000,0,0,2,4.881491546,21.09375,85,67.6144,117800
544,6289L,59490,2014-05,2,0,32927,66000,119000,3,2,1212,15000,,0,,,3.383152174,13.84750219,81,78.2151,107100
815,0807F,67500,2015-04,2,1,32404,60000,119000,3,2,1488,15000,54000,0,15,5,4.362922705,8.497723824,135.5,98.2122,136500
20,52011,52500,2011-11,4,1,34116,0,120000,3,2,1248,,,0,,,6.830464976,20.85781434,94,76.6922,114700
209,0264J,76500,2013-04,2,1,34743,80000,120000,3,2,1330,5000,70000,0,,,2.712862319,7.79401531,84,64.8986,101200
370,6223P,71500,2013-09,3,1,32808,84000,120000,4,2,1409,3000,20000,1,0,0,0.935235507,5.844155844,84,48.6274,66500
380,3802H,72000,2013-10,4,1,32277,80000,120000,3,2,1600,0,45000,0,25,10,0.592542271,6.794564349,86,69.2603,117100
477,1915S,58000,2014-02,1,1,32779,0,120000,,2.5,1313,2500,25000,0,8,3,2.158061594,4.360155973,98,113.297,299100
513,1964M,60300,2014-04,2,1,32725,67000,120000,3,2,1887,0,500000,1,0,0,3.928140097,14.14821944,89,66.9071,97400
535,6432M,76000,2014-05,2,1,32927,60000,120000,3,2,1269,25000,26000,0,2,3,3.383152174,13.84750219,81,78.2151,107100
562,3724B,81000,2014-06,2,1,37214,47000,120000,3,2,1599,35000,20000,0,0,0,7.537741546,15.28839472,60,96.8914,147400
590,2303C,56812,2014-07,3,1,23223,55125,120000,3,1.5,1100,8000,17800,0,5,5,1.363224638,4.787714544,83.5,99.2677,109200
688,1042G,72450,2014-11,4,1,32955,42500,120000,3,3,1400,38000,15000,1,0,0,4.427838164,8.613317043,82,94.4856,184300
711,6469P,68400,2014-11,4,1,32818,69000,120000,3,2,1894,7000,35000,1,0,0,3.688103865,10.7599699,97,77.4311,134100
753,0312D,72000,2015-01,1,1,33759,75229,120000,4,2,1330,20000,40000,0,0,0,1.845561594,8.261494253,72.5,104.1774,180400
761,1800S,70800,2015-02,1,1,32935,78674,120000,4,2,1535,0,140000,0,5,0,5.8227657,16.38361638,85.5,79.4156,107000
799,0770L,81900,2015-03,1,1,34758,79000,120000,3,2,199,12000,40000,0,1,1,1.314915459,5.66318927,95.5,70.1223,136300
990,1141L,84353,2015-08,3,0,32907,93725,120000,3,2,1406,0,29000,0,8,4,4.300271739,13.96357329,77,83.4841,125600
1143,2109P,60000,2016-01,1,1,34748,55000,120000,5,3,2124,12000,28800,1,23,132,1.01147343,2.930127724,101,85.7745,146000
962,3009D,70000,2015-08,3,1,75062,0,121500,3,2,1537,15000,23000,0,1,0,9.138737923,14.20454545,66,95.0742,138000
846,0035S,78400,2015-04,2,0,46143,56000,123000,3,1,1500,33000,70000,0,1,1,9.461050725,5.688202247,110,176.4049,147700
466,2907N,55000,2014-01,1,0,33605,99000,124900,4,2.5,2260,6000,8000,0,7,10,0.728411836,5.271317829,99.5,,59600
180,1700N,57500,2013-03,1,1,32807,0,125000,,15,1500,0,,0,1,0,4.985658213,11.53169014,89,65.5404,88400
231,3450H,82800,2013-05,2,1,34746,82000,125000,3,2,1399,0,,0,0,1,1.608544686,3.934233705,112,84.8003,147500
248,1117N,66600,2013-04,2,0,32206,39000,125000,6,3,2262,0,30000,0,1,0,0.002264493,-5.894308943,92,,45000
326,4125P,65700,2013-08,3,1,32828,48000,125000,3,2,1645,25000,,0,,,2.598128019,4.503367003,91,101.3128,222800
368,1562B,93750,2013-09,3,1,34744,103000,125000,3,2,1200,3000,40000,1,10,7,3.614130435,5.791044776,102,82.3527,141100
451,7373L,63900,2014-01,1,1,32818,66000,125000,4,2,1482,5000,15000,1,0,0,3.688103865,10.7599699,97,67.571,119300
459,3502L,74750,2014-01,1,0,32818,90000,125000,8,3,2498,2500,16000,0,15,0,3.688103865,10.7599699,97,67.571,119300
507,4702J,78300,2014-04,2,1,32818,75000,125000,3,2,1744,12000,16000,1,0,0,3.688103865,10.7599699,97,75.9791,123700
635,0347M,68750,2014-09,3,1,32118,0,125000,3,1,1143,39500,20000,0,0,0,4.118357488,10.19387117,105,114.8275,145500
732,1468F,76000,2016-11,4,0,33952,60000,125000,2,2,1608,24500,28000,0,4,0,3.378623188,13.07531381,83,85.5505,117700
739,1223U,68700,2015-01,1,1,33755,62970,125000,2,2,1224,25000,40000,0,0,0,4.475392512,13.203125,102,94.5369,129400
743,0415S,72000,2015-01,1,1,32724,80000,125000,4,2,1961,0,100200,1,0,0,5.172101449,9.669992325,108,85.0729,136000
763,2404A,83800,2015-02,1,1,33980,69893,125000,2,2,1466,30000,62000,0,4,0,5.332880435,7.29312763,108,89.5484,167400
780,2136P,78120,2015-01,1,0,32808,84300,125000,4,2,1803,2500,25000,1,0,0,0.935235507,5.844155844,84,45.2425,78800
786,3846E,76500,2015-03,1,1,33811,50000,125000,3,2,1294,35000,26000,0,10,8,2.684178744,7.123655914,99.5,91.4173,151700
803,4468L,76900,2015-03,1,1,33948,85500,125000,3,2,1329,0,130000,0,8,0,3.880585749,12.90322581,86.5,88.0415,141400
867,5536S,75000,2015-05,2,1,46217,36500,125000,4,4,2016,0,18000,0,6,31,5.282306763,3.715937242,108,168.8622,128200
945,3705B,81000,2015-07,3,1,31605,70000,125000,3,2,1479,20000,22000,0,4,0,4.528230676,1.112759644,144,84.9593,131900
971,1480A,81000,2015-08,3,1,33881,60000,125000,4,2,1611,30000,50000,0,2,3,0.113979469,1.905972046,96.5,62.1215,91400
1077,0520S,76500,2015-11,4,1,28311,65000,125000,3,2,1250,20000,45000,0,2,,0.803894928,-1.409618574,139.5,83.3896,120100
1119,3008O,77000,2015-12,4,1,33566,75500,125000,3,2,1275,10500,40800,1,1,,1.847826087,3.667621777,120.5,103.8156,186500
527,2849P,62000,2014-05,2,1,32208,32500,127000,3,1.5,2472,0,160000,0,9,3,1.668176329,9.523809524,107.5,35.86,55000
